Dataset,Accuracy,F1-Score,AUC-ROC
'breast-cancer-wisc-prog',0.8,0.5,0.765625
'hepatitis',0.8387096774193549,0.9056603773584906,0.875
'parkinsons',0.8974358974358975,0.9411764705882353,0.8348214285714285
'spectf',0.8518518518518519,0.9090909090909091,0.8864197530864197
'wine',1.0,1.0,1.0
'cervical-cancer',0.7483443708609272,0.32142857142857145,0.625720620842572
'climate-model-simulation-crashes',0.9338235294117647,0.9547738693467337,0.9866666666666666
'colposcopies',0.7413793103448276,0.8387096774193549,0.6344294003868473
'glass-id',0.9534883720930233,0.9642857142857143,0.9952380952380953
'las-vegas-trip',0.5841584158415841,0.5434782608695652,0.6442610062893082
'mesothelioma',1.0,1.0,1.0
'student-performance',0.7215189873417721,0.6071428571428571,0.7560483870967741
'statlog-heart-2',0.9074074074074074,0.8717948717948718,0.9494949494949495
'breast-cancer-2',0.6724137931034483,0.2962962962962963,0.6885456885456885
'heart-hungarian-2',0.8305084745762712,0.7619047619047619,0.9223057644110276
'horse-colic-2',0.7166666666666667,0.6530612244897959,0.7858851674641149
'cylinder-bands-2',0.7572815533980582,0.8175182481751825,0.8556254917387883
'credit-approval-2',0.8043478260869565,0.8029197080291971,0.8785714285714286
'statlog-australian-credit-2',0.6594202898550725,0.7892376681614349,0.5200676982591876
'tic-tac-toe',0.96875,0.9765625,0.9966567164179104
'statlog-german-credit-2',0.8,0.6226415094339622,0.8092318788315904
'acute-nephritis',1.0,1.0,1.0
'acute-inflammation',1.0,1.0,1.0
'echocardiogram',0.7777777777777778,0.625,0.8580246913580247
'planning',0.6756756756756757,0.0,0.2692307692307692
'conn-bench-sonar-mines-rocks',0.8095238095238095,0.7777777777777778,0.9086538461538463
'spect',0.6111111111111112,0.5714285714285714,0.6531034482758621
'statlog-heart-1',0.7222222222222222,0.6153846153846154,0.8326118326118326
'breast-cancer-wang',0.6896551724137931,0.7631578947368421,0.6936274509803922
'breast-cancer-1',0.5862068965517241,0.07692307692307693,0.6634491634491634
'heart-hungarian-1',0.8135593220338984,0.7659574468085106,0.8847117794486216
'breast-cancer-nki',0.711864406779661,0.8131868131868132,0.736734693877551
'haberman-survival',0.6935483870967742,0.24,0.5328282828282828
'vertebral-column-2clases',0.8709677419354839,0.7777777777777778,0.9444444444444444
'ionosphere',0.8591549295774648,0.8958333333333334,0.8754152823920266
'horse-colic-1',0.7166666666666667,0.5641025641025641,0.6566985645933014
'congressional-voting',0.5747126436781609,0.2127659574468085,0.5086405529953917
'cylinder-bands-1',0.6213592233009708,0.7111111111111111,0.7010228166797796
'breast-cancer-wisc-diag',0.9736842105263158,0.9647058823529412,0.99737962659679
'ilpd-indian-liver',0.7692307692307693,0.4,0.8187739463601533
'credit-approval-1',0.8478260869565217,0.8421052631578947,0.8880252100840336
'statlog-australian-credit-1',0.6811594202898551,0.808695652173913,0.5345744680851063
'breast-cancer-wisc',0.9714285714285714,0.9545454545454546,0.9967251461988305
'pima',0.7532467532467533,0.6607142857142857,0.8146923783287419
'oocytes-trisopterus-nucleus-2f',0.7650273224043715,0.8122270742358079,0.8272997768410612
'mammographic',0.8186528497409327,0.7953216374269005,0.8918962548428755
'statlog-german-credit-1',0.71,0.2926829268292683,0.6261569900228392
'oocytes-merluccius-nucleus-4d',0.7853658536585366,0.8493150684931506,0.8641552511415526
'hill-valley',0.7777777777777778,0.7452830188679245,0.9853725222146275
'banknote-authentication',0.9854545454545455,0.984251968503937,0.9996807831453501
'breast-cancer-coimbra',0.875,0.88,0.9513888888888888
'cervical-cancer-behaviour-risk',0.9333333333333333,0.9333333333333333,1.0
'iranian-churn-dataset',0.8682539682539683,0.5088757396449705,0.9040996503496503
'seed-1',0.9285714285714286,0.9333333333333333,0.9948979591836735
'seed-2',0.8214285714285714,0.8148148148148148,0.9285714285714286
'adult-dataset',0.8168278826961461,0.5191455058444175,0.8382050371193175
'the-mammography-dataset',0.9865891819400984,0.6052631578947368,0.9583996342021033
'the-oil-dataset',0.9627659574468085,0.46153846153846156,0.9578754578754579
'phoneme-dataset',0.7548566142460684,0.5190562613430127,0.8191938149295377
'pima-indian-not-normalized',0.7467532467532467,0.6548672566371682,0.8128558310376492
