Dataset,LR_ROC_AUC,LR_F1,RF_ROC_AUC,RF_F1
'breast-cancer-wisc-prog',0.7626841243862521,0.4444444444444444,0.6284779050736498,0.4444444444444444
'hepatitis',0.7485380116959064,0.8860759493670886,0.8421052631578948,0.875
'parkinsons',0.8939393939393939,0.9130434782608695,0.9590909090909092,0.9555555555555556
'spectf',0.9161616161616162,0.9147286821705426,0.8994949494949496,0.9481481481481482
'wine',0.9956709956709956,0.975609756097561,1.0,1.0
'cervical-cancer',0.6265133171912832,0.22784810126582278,0.8860976594027441,0.7476635514018691
'climate-model-simulation-crashes',0.9865890688259109,0.9498327759197325,1.0,1.0
'colposcopies',0.658955223880597,0.8382352941176471,0.7485074626865672,0.8721804511278195
'glass-id',0.994279176201373,0.967741935483871,0.9839816933638443,0.946236559139785
'las-vegas-trip',0.7121478873239436,0.6056338028169014,0.6716549295774648,0.5
'mesothelioma',1.0,1.0,1.0,1.0
'student-performance',0.7535959974984365,0.6052631578947368,0.7237335834896811,0.417910447761194
'statlog-heart-2',0.8858418367346939,0.7719298245614035,0.8673469387755103,0.7037037037037037
'breast-cancer-2',0.6616446955430005,0.32558139534883723,0.665097300690521,0.2702702702702703
'heart-hungarian-2',0.9074941451990632,0.7407407407407407,0.877927400468384,0.6779661016949152
'horse-colic-2',0.8157040882543802,0.6071428571428571,0.9159636599610642,0.8095238095238095
'cylinder-bands-2',0.7774104683195593,0.8058252427184466,0.8620752984389347,0.8415841584158416
'credit-approval-2',0.8872539831302718,0.8465116279069768,0.9141049671977507,0.8691588785046729
'statlog-australian-credit-2',0.5397727272727273,0.7914110429447853,0.6145104895104896,0.7760252365930599
'tic-tac-toe',0.9978183801472594,0.9846938775510204,0.9998363785110445,0.9948453608247423
'statlog-german-credit-2',0.8137126031862874,0.5859872611464968,0.7933908197066092,0.49295774647887325
'acute-nephritis',1.0,1.0,1.0,1.0
'acute-inflammation',1.0,1.0,1.0,1.0
'echocardiogram',0.8392857142857143,0.6,0.8779761904761905,0.6
'planning',0.4210526315789474,0.0,0.43347953216374263,0.0
'conn-bench-sonar-mines-rocks',0.8959183673469389,0.7368421052631579,0.9387755102040817,0.8620689655172413
'spect',0.686335403726708,0.53125,0.693167701863354,0.5882352941176471
'statlog-heart-1',0.8035714285714286,0.6071428571428571,0.7831632653061225,0.631578947368421
'breast-cancer-wang',0.6744868035190615,0.7394957983193278,0.7102639296187684,0.8372093023255814
'breast-cancer-1',0.697112366603892,0.06451612903225806,0.5866290018832392,0.2631578947368421
'heart-hungarian-1',0.8764637002341921,0.7213114754098361,0.8354800936768151,0.6909090909090909
'breast-cancer-nki',0.6819548872180452,0.8194444444444444,0.7342105263157894,0.8552631578947368
'haberman-survival',0.6235431235431235,0.32432432432432434,0.6803613053613055,0.35
'vertebral-column-2clases',0.9498792270531401,0.84,0.9115338164251208,0.6046511627906976
'ionosphere',0.9104477611940299,0.9103448275862069,0.9934940681209338,0.9635036496350365
'horse-colic-1',0.6820246593121349,0.5,0.8053212199870214,0.6
'congressional-voting',0.5662404092071611,0.22857142857142856,0.5713554987212277,0.208955223880597
'cylinder-bands-1',0.7123966942148761,0.7596153846153846,0.8420569329660238,0.8490566037735849
'breast-cancer-wisc-diag',0.9979423868312757,0.9763779527559056,0.9968400940623162,0.959349593495935
'ilpd-indian-liver',0.7829122340425532,0.3076923076923077,0.7701130319148937,0.379746835443038
'credit-approval-1',0.8938144329896908,0.8476190476190476,0.907169634489222,0.8703703703703703
'statlog-australian-credit-1',0.5320148601398602,0.8069164265129684,0.6221590909090908,0.7731629392971247
'breast-cancer-wisc',0.9974950422711616,0.9465648854961832,0.99608600354869,0.9629629629629629
'pima',0.7980132450331127,0.6211180124223602,0.8028973509933774,0.6583850931677019
'oocytes-trisopterus-nucleus-2f',0.8338061981667394,0.8259587020648967,0.8737996508075077,0.8343558282208589
'mammographic',0.8705848291835554,0.782258064516129,0.8464099594672844,0.7550200803212851
'statlog-german-credit-1',0.6563436563436564,0.2833333333333333,0.6643093748356906,0.3918918918918919
'oocytes-merluccius-nucleus-4d',0.8566832138260709,0.8498845265588915,0.841354109211252,0.8497652582159625
'hill-valley',0.9022001934235977,0.2636363636363636,0.5270188588007737,0.526595744680851
'banknote-authentication',0.9996659269334479,0.9783783783783784,1.0,0.9972602739726028
'breast-cancer-coimbra',0.8235294117647058,0.8,0.8055555555555556,0.7027027027027027
'cervical-cancer-behaviour-risk',1.0,1.0,0.9955357142857143,0.8571428571428571
'iranian-churn-dataset',0.9176994150387083,0.536,0.9821003421471706,0.8163265306122449
'seed-1',0.9954233409610984,0.9473684210526315,1.0,1.0
'seed-2',0.9794050343249427,0.9,0.959954233409611,0.8780487804878049
'seed-3',1.0,1.0,1.0,1.0
'adult-dataset',0.830634339021742,0.5090709180868609,0.8210987619754829,0.55183711677978
'the-mammography-dataset',0.9673138545433577,0.5370370370370371,0.9718650378510176,0.7213114754098361
'the-oil-dataset',0.9275410935927542,0.6086956521739131,0.9315665883931568,0.375
'phoneme-dataset',0.8182223851634596,0.5104294478527608,0.9593072775481788,0.8291139240506329
'the-forest-cover-dataset',0.950847864671366,0.5457227138643068,0.996231242259811,0.8964646464646465
'pima-indian-not-normalized',0.7980132450331127,0.6211180124223602,0.8046357615894039,0.654320987654321
